min_cluster_size,min_samples,epsilon,metric,noise_ratio,cluster_coverage,num_clusters,silhouette_score,composite_score
10,10,1.0,euclidean,0.021739130434782594,0.9782608695652174,3,0.32092476,0.31394813371741254
3,4,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
3,5,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
4,4,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
4,5,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
5,4,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
5,5,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
6,4,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
6,5,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
7,4,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
7,5,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
10,4,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
10,5,0.8,euclidean,0.0,1.0,3,0.3045871,0.30458709597587585
10,7,0.5,euclidean,0.03864734299516903,0.961352657004831,5,0.3111191,0.2990951824591356
3,10,0.5,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
3,10,0.8,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
4,10,0.5,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
4,10,0.8,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
5,10,0.5,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
5,10,0.8,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
6,10,0.5,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
6,10,0.8,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
7,10,0.5,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
7,10,0.8,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
10,10,0.5,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
10,10,0.8,euclidean,0.0748792270531401,0.9251207729468599,5,0.3206902,0.2966771792386465
3,7,0.8,euclidean,0.036231884057971064,0.9637681159420289,4,0.30194676,0.29100665925205615
4,7,0.8,euclidean,0.036231884057971064,0.9637681159420289,4,0.30194676,0.29100665925205615
5,7,0.8,euclidean,0.036231884057971064,0.9637681159420289,4,0.30194676,0.29100665925205615
6,7,0.8,euclidean,0.036231884057971064,0.9637681159420289,4,0.30194676,0.29100665925205615
7,7,0.8,euclidean,0.036231884057971064,0.9637681159420289,4,0.30194676,0.29100665925205615
10,7,0.8,euclidean,0.036231884057971064,0.9637681159420289,4,0.30194676,0.29100665925205615
10,4,0.5,euclidean,0.09661835748792269,0.9033816425120773,7,0.28173372,0.25451307207489937
10,5,0.5,euclidean,0.13043478260869568,0.8695652173913043,7,0.28852665,0.250892742820408
7,4,0.5,euclidean,0.106280193236715,0.893719806763285,9,0.20423155,0.18252577722648491
